,train_frac,R
0,0.01,0.5629495282500753
1,0.03,0.5983379647795134
2,0.05,0.6336355617564847
3,0.06999999999999999,0.6303813684838921
4,0.09,0.652912826979117
5,0.11,0.005876190279296287
6,0.13,0.6146623899352285
7,0.15000000000000002,0.6537201332206141
8,0.17,0.6170460684273433
9,0.19,0.6409161708921596
10,0.21000000000000002,0.6571134549996267
11,0.23,0.6338633482220011
12,0.25,0.6653580888526183
13,0.27,0.6709102602155399
14,0.29000000000000004,0.6597095253698946
15,0.31,0.7014749819098779
16,0.33,0.6614357065856992
17,0.35000000000000003,0.67154070996883
18,0.37,0.6195885130605443
19,0.39,0.6599821088239719
20,0.41000000000000003,0.6869062836729816
21,0.43,0.6811367625620486
22,0.45,0.6278908864794733
23,0.47000000000000003,0.6356783187856241
24,0.49,0.012626599083611214
25,0.51,0.6635398242795414
26,0.53,0.6304109246098811
27,0.55,0.6566496195917264
28,0.5700000000000001,0.6528649975587588
29,0.59,0.6566358453561641
30,0.61,0.6528225244990278
31,0.63,0.5312397706222206
32,0.65,0.677174116265733
33,0.67,0.6653502240109095
34,0.6900000000000001,0.6818596415077441
35,0.7100000000000001,0.681144491120518
36,0.73,0.6116294035051862
37,0.75,0.7031878750018691
38,0.77,0.6624922993050318
39,0.79,0.6606522110691881
40,0.81,0.6667275663388215
41,0.8300000000000001,0.6743562735796466
42,0.85,0.5148059884386968
43,0.87,0.6560418578205586
44,0.89,0.7183268287598342
45,0.91,0.666043683833722
46,0.93,0.6313079107092178
47,0.9500000000000001,0.7005326375899
48,0.97,0.695529111392101
49,0.99,0.7057668928025443
